 ,Area,Mean,Min,Max,Angle,Length
1,1.256,141.633,109.515,171.000,0.446,25.383
2,1.266,141.736,115.144,171.000,-88.894,25.585
3,1.288,141.477,111.889,171.002,-40.224,26.000
4,1.466,137.661,96.380,171.000,4.970,29.642
5,1.453,138.176,99.452,171.000,-24.412,29.393
6,1.475,137.118,100.333,171.184,41.239,29.815
7,2.095,125.463,76.035,171.000,-4.010,42.375
8,2.117,125.147,83.000,170.998,49.958,42.831
9,2.058,126.459,82.103,171.000,-39.127,41.632
10,2.514,118.310,64.593,171.000,0.223,50.864
11,2.495,118.759,70.907,170.820,-48.730,50.460
12,2.519,118.354,67.774,171.000,42.879,50.946
